state,st,covid_age_group_0_17,covid_age_group_18_49,covid_age_group_50_64,covid_age_group_65plus,covid_no_age_group,covid_sex_female,covid_sex_male,covid_no_sex,covid_race_white,covid_race_black,covid_race_asian,covid_race_multiple_other,covid_race_am_indian_alaska_native,covid_race_native_hawaiian_other_pacific,covid_no_race
Alabama,AL,29640,226275,54576,44637,,207566,147562,,130392,56334,343,7518,,,160541
Alaska,AK,6758,27612,8559,4420,,23495,23854,,10312,671,1047,6312,8280,680,20047
Arizona,AZ,64848,329243,110734,74198,,304695,274328,,315094,17337,6149,15511,30801,328,193803
Arkansas,AR,25071,103916,36348,29091,,109164,85262,,120966,30743,562,6230,43,1999,33883
California,CA,302757,1473304,477981,263914,,1316947,1201009,,585584,71422,101214,199874,5977,6999,1546886
Colorado,CO,27950,177729,52788,34860,,158937,134390,,95027,5364,1519,16321,478,122,174496
Connecticut,CT,18533,86713,38473,30514,,94020,80213,,52032,10953,709,208,120,,110211
Delaware,DE,7017,29921,11226,7631,,30396,25399,,,,,,,,55795
District of Columbia,DC,1079,10052,3782,2987,,9311,8589,,3905,8988,174,3686,,,1147
Florida,FL,73491,466870,182530,135741,,458938,399694,,472631,116254,5055,41778,48,35,222831
Georgia,GA,53194,301726,101752,60163,,299352,217483,,111744,65377,3323,325,34,,336032
Hawaii,HI,2145,10011,3282,2048,,8877,8609,,912,123,6510,3944,,,5997
Idaho,ID,14811,84847,26965,19794,,81710,64707,,75693,190,233,5925,484,,63892
Illinois,IL,111275,557427,214517,147208,,559419,471008,,431904,87508,18904,26362,1381,580,463788
Indiana,IN,49836,275937,106988,82472,,286793,228440,,274997,22341,4203,36303,142,130,177117
Iowa,IA,35225,178777,65688,47556,,182998,144248,,183662,6665,2606,435,107,59,133712
Kansas,KS,25245,128747,46539,35305,,128989,106847,,160936,8634,2710,7412,341,,55803
Kentucky,KY,15841,95395,34569,29596,,102462,72939,,117584,4977,397,1791,,,50652
Louisiana,LA,470,9049,5020,5182,,11789,7932,,3924,6640,,,,,9157
Maine,ME,2511,13578,5639,4437,,15408,10757,,17782,1080,38,72,,,7193
Maryland,MD,20670,126251,46869,32024,,121506,104308,,43793,31577,825,13245,23,,136351
Massachusetts,MA,42942,200599,80523,62288,,207664,178688,,173711,27271,9297,17016,69,,158988
Michigan,MI,26095,173212,68356,58485,,181203,144945,,201288,26749,2954,17013,192,,77952
Minnesota,MN,51446,235571,85321,56961,,233648,195651,,281882,30399,14813,26122,2096,11,73976
Mississippi,MS,4792,27912,10464,9170,,32443,19895,,16372,21130,,700,734,,13402
Missouri,MO,4187,34375,11802,9617,,34252,25729,,26935,10645,304,12235,,,9862
Montana,MT,9610,43677,16358,13545,,45660,37530,,49757,36,22,1275,6084,,26016
Nebraska,NE,11843,64084,22686,14833,,65445,48001,,85089,2425,1114,252,45,,24521
Nevada,NV,24613,135276,43904,24904,,119572,109125,,97709,14221,13056,45111,371,1717,56512
New Hampshire,NH,4697,18296,6220,7965,,20922,16256,,18849,338,152,1209,,,16630
New Jersey,NJ,48916,285987,128388,89167,,287506,264952,,206559,45765,16938,7815,,,275381
New Mexico,NM,19220,82879,26454,17106,,80876,64783,,58191,935,510,3649,23360,,59014
New York,NY,110896,633420,291154,207352,,652390,590432,,289076,97336,33919,60603,4213,67,757608
North Carolina,NC,65116,323031,116374,85393,,329548,260366,,287384,83788,4770,15878,4285,11,193798
North Dakota,ND,1768,14876,4490,3040,,14261,9913,,,,97,,484,,23593
Ohio,OH,55460,376708,156158,126373,,401048,313651,,414857,71341,7337,40006,48,,181110
Oklahoma,OK,37523,169535,58545,43974,,168002,141575,,169695,13213,3054,5185,22355,274,95801
Oregon,OR,13104,72865,20858,14687,,67633,53881,,51096,1882,2690,19457,806,414,45169
Pennsylvania,PA,51648,338184,148121,128632,,367897,298688,,245449,34608,4991,24185,75,,357277
Rhode Island,RI,3451,20775,7997,7218,,22871,16570,,7390,1640,101,2222,196,,27892
South Carolina,SC,34618,175917,67171,53779,,190448,141037,,137393,57938,403,9391,,,126360
South Dakota,SD,6298,32418,11847,7919,,32260,26222,,38128,835,403,790,4772,,13554
Tennessee,TN,72678,320232,118600,85101,,333974,262637,,348906,69656,2475,17233,22,,158319
Texas,TX,3274,46873,15164,7056,,28423,43944,,36283,9731,319,48,,,25986
Utah,UT,45788,181904,44630,23542,,151793,144071,,221840,2583,4116,21111,2377,5998,37839
Vermont,VT,724,4546,1338,976,,5016,2568,,4215,226,273,25,,,2845
Virginia,VA,34105,212967,73489,49146,,205682,164025,,148503,50518,8359,34658,39,11,127619
Washington,WA,29553,157934,47080,30071,,142060,122578,,82645,7473,7442,11855,957,1609,152657
West Virginia,WV,715,5015,1666,1413,,4988,3821,,6865,382,,29,,,1533
Wisconsin,WI,48186,232453,95757,63730,,239615,200511,,333559,15609,5621,17515,2810,,65012
Wyoming,WY,180,769,225,123,,791,506,,521,,,,187,,589
